Peak,chr,start,end,FDR,Genes,Genes_n,Module
chr7:140262539-140263039,chr7,140262539,140263039,2.0688E-17,DENND2A,1,indianred3
chr7:139821038-139821538,chr7,139821038,139821538,2.16097E-17,DENND2A,1,indianred3
chr7:98759969-98760469,chr7,98759969,98760469,2.18428E-17,"PTCD1, TMEM225B, ZSCAN25",3,indianred3
chr7:219719-220219,chr7,219719,220219,2.19985E-17,PDGFA,1,indianred3
chr17:42979651-42980151,chr17,42979651,42980151,2.34199E-17,"FZD2, MAP3K14",2,indianred3
chr14:23446854-23447354,chr14,23446854,23447354,2.36675E-17,"DAD1, ABHD4, OXA1L, MRPL52, RBM23, PRMT5, AJUBA, C14orf119, NGDN",9,indianred3
chr7:22626128-22626628,chr7,22626128,22626628,2.45396E-17,FAM126A,1,indianred3
chr3:189364550-189365050,chr3,189364550,189365050,2.52304E-17,TP63,1,indianred3
chr3:186928241-186928741,chr3,186928241,186928741,2.59073E-17,MASP1,1,indianred3
chr2:161126617-161127117,chr2,161126617,161127117,2.64868E-17,RBMS1,1,indianred3
chr5:72684023-72684523,chr5,72684023,72684523,2.73254E-17,"FOXD1, UTP15",2,indianred3
chr12:77315951-77316451,chr12,77315951,77316451,2.75613E-17,CSRP2,1,indianred3
chr19:3336599-3337099,chr19,3336599,3337099,2.86211E-17,"ZNF555, ZNF57, HMG20B, CACTIN, MRPL54",5,indianred3
chr19:16383800-16384300,chr19,16383800,16384300,2.96188E-17,"RAB8A, C19orf44, MED26",3,indianred3
chr7:105709346-105709846,chr7,105709346,105709846,3.10981E-17,"ATXN7L1, CDHR3",2,indianred3
chr21:27207703-27208203,chr21,27207703,27208203,3.33124E-17,JAM2,1,indianred3
chr2:202737267-202737767,chr2,202737267,202737767,3.37348E-17,FZD7,1,indianred3
chr11:121976027-121976527,chr11,121976027,121976527,3.49022E-17,MIR100HG,1,indianred3
chr2:74123703-74124203,chr2,74123703,74124203,3.75412E-17,MOB1A,1,indianred3
chr1:180563886-180564386,chr1,180563886,180564386,3.92569E-17,IER5,1,indianred3
chr7:23387350-23387850,chr7,23387350,23387850,3.9699E-17,IGF2BP3,1,indianred3
chr7:30804124-30804624,chr7,30804124,30804624,4.03382E-17,ADCYAP1R1,1,indianred3
chr9:78796187-78796687,chr9,78796187,78796687,4.09876E-17,PCSK5,1,indianred3
chr12:52641093-52641593,chr12,52641093,52641593,4.50643E-17,KRT7-AS,1,indianred3
chr12:22435170-22435670,chr12,22435170,22435670,4.51219E-17,ST8SIA1,1,indianred3
chr2:205472939-205473439,chr2,205472939,205473439,4.76241E-17,PARD3B,1,indianred3
chr12:106978000-106978500,chr12,106978000,106978500,5.40857E-17,RFX4,1,indianred3
chr5:71475178-71475678,chr5,71475178,71475678,5.46092E-17,MAP1B,1,indianred3
chr17:27020875-27021375,chr17,27020875,27021375,5.84805E-17,"SDF2, RAB34, ERAL1, PHF12, PIPOX",5,indianred3
chr6:35327664-35328164,chr6,35327664,35328164,5.98193E-17,TEAD3,1,indianred3
chr13:110778730-110779230,chr13,110778730,110779230,6.17193E-17,"IRS2, RAB20",2,indianred3
chr12:21927499-21927999,chr12,21927499,21927999,6.34922E-17,KCNJ8,1,indianred3
chr17:73846998-73847498,chr17,73846998,73847498,6.57035E-17,TRIM47,1,indianred3
chr11:34049956-34050456,chr11,34049956,34050456,6.84901E-17,NAT10,1,indianred3
chr11:353242-353742,chr11,353242,353742,6.85272E-17,RPLP2,1,indianred3
chr7:149383061-149383561,chr7,149383061,149383561,7.07911E-17,KRBA1,1,indianred3
chr8:67131847-67132347,chr8,67131847,67132347,7.40847E-17,RRS1,1,indianred3
chr2:202723494-202723994,chr2,202723494,202723994,8.14407E-17,"CDK15, FZD7",2,indianred3
chr2:86132339-86132839,chr2,86132339,86132839,8.18521E-17,ATOH8,1,indianred3
chr6:117833285-117833785,chr6,117833285,117833785,8.81187E-17,"VGLL2, DCBLD1",2,indianred3
chr3:193815239-193815739,chr3,193815239,193815739,9.72645E-17,HES1,1,indianred3
chr3:147125226-147125726,chr3,147125226,147125726,9.76774E-17,ZIC4,1,indianred3
chr17:1971363-1971863,chr17,1971363,1971863,1.00497E-16,SMYD4,1,indianred3
chr1:119445500-119446000,chr1,119445500,119446000,1.02694E-16,TBX15,1,indianred3
chr12:49658546-49659046,chr12,49658546,49659046,1.05688E-16,TUBA1C,1,indianred3
chr20:17855862-17856362,chr20,17855862,17856362,1.0637E-16,"RRBP1, SNX5",2,indianred3
chr8:90558631-90559131,chr8,90558631,90559131,1.08669E-16,NBN,1,indianred3
chr5:128072147-128072647,chr5,128072147,128072647,1.11737E-16,FBN2,1,indianred3
chr20:39806213-39806713,chr20,39806213,39806713,1.22433E-16,"ZHX3, EMILIN3",2,indianred3
chr1:202186687-202187187,chr1,202186687,202187187,1.26508E-16,LGR6,1,indianred3
chr8:40010694-40011194,chr8,40010694,40011194,1.50486E-16,TCIM,1,indianred3
chr2:216301208-216301708,chr2,216301208,216301708,1.52724E-16,FN1,1,indianred3
chr3:140960459-140960959,chr3,140960459,140960959,1.56997E-16,PXYLP1,1,indianred3
chr17:7049446-7049946,chr17,7049446,7049946,1.72803E-16,FBXO39,1,indianred3
chr1:205462335-205462835,chr1,205462335,205462835,1.73019E-16,KLHDC8A,1,indianred3
chr3:193853538-193854038,chr3,193853538,193854038,1.7563E-16,HES1,1,indianred3
chr5:76126950-76127450,chr5,76126950,76127450,1.82455E-16,F2RL1,1,indianred3
chr1:226852075-226852575,chr1,226852075,226852575,1.90235E-16,PSEN2,1,indianred3
chr21:43502006-43502506,chr21,43502006,43502506,1.92572E-16,ZNF295-AS1,1,indianred3
chr8:76131423-76131923,chr8,76131423,76131923,2.04304E-16,CRISPLD1,1,indianred3
chr20:17982095-17982595,chr20,17982095,17982595,2.18135E-16,SNX5,1,indianred3
chr2:202820283-202820783,chr2,202820283,202820783,2.20175E-16,FZD7,1,indianred3
chr20:51539758-51540258,chr20,51539758,51540258,2.29123E-16,TSHZ2,1,indianred3
chr17:42988673-42989173,chr17,42988673,42989173,2.36055E-16,"PLCD3, MAP3K14",2,indianred3
chr7:19255003-19255503,chr7,19255003,19255503,2.36179E-16,TWIST1,1,indianred3
chr13:40075789-40076289,chr13,40075789,40076289,2.39321E-16,LHFPL6,1,indianred3
chr3:189226520-189227020,chr3,189226520,189227020,2.59041E-16,TP63,1,indianred3
chr6:117827604-117828104,chr6,117827604,117828104,2.69122E-16,"VGLL2, DCBLD1",2,indianred3
chr6:108488557-108489057,chr6,108488557,108489057,2.7152E-16,NR2E1,1,indianred3
chr7:151454249-151454749,chr7,151454249,151454749,2.72095E-16,NUB1,1,indianred3
chr7:26704577-26705077,chr7,26704577,26705077,2.91275E-16,LOC105375304,1,indianred3
chr19:15217943-15218443,chr19,15217943,15218443,2.93515E-16,SYDE1,1,indianred3
chr12:81471544-81472044,chr12,81471544,81472044,3.19285E-16,ACSS3,1,indianred3
chr11:36145107-36145607,chr11,36145107,36145607,3.21439E-16,TRAF6,1,indianred3
chr5:115045164-115045664,chr5,115045164,115045664,3.38751E-16,CDO1,1,indianred3
chr8:10450966-10451466,chr8,10450966,10451466,3.52414E-16,PINX1,1,indianred3
chr1:17390124-17390624,chr1,17390124,17390624,3.62425E-16,ARHGEF10L,1,indianred3
chr6:138820497-138820997,chr6,138820497,138820997,3.76483E-16,NHSL1,1,indianred3
chr17:46641625-46642125,chr17,46641625,46642125,3.80914E-16,"HOXB-AS1, HOXB3, HOXB4, HOXB-AS3, HOXB5, HOXB7, HOXB8",7,indianred3
chr17:43168041-43168541,chr17,43168041,43168541,3.8233E-16,"CCDC43, EFTUD2, MAP3K14",3,indianred3
chr3:193544068-193544568,chr3,193544068,193544568,4.25441E-16,HES1,1,indianred3
chr3:4793070-4793570,chr3,4793070,4793570,4.47792E-16,EGOT,1,indianred3
chr1:89471177-89471677,chr1,89471177,89471677,4.52019E-16,GBP3,1,indianred3
chr20:20444532-20445032,chr20,20444532,20445032,4.81223E-16,CRNKL1,1,indianred3
chr11:101982613-101983113,chr11,101982613,101983113,4.91157E-16,YAP1,1,indianred3
chr8:104118039-104118539,chr8,104118039,104118539,5.24672E-16,LOC105369147,1,indianred3
chr2:121576034-121576534,chr2,121576034,121576534,5.2917E-16,GLI2,1,indianred3
chr7:155617090-155617590,chr7,155617090,155617590,5.42835E-16,EN2,1,indianred3
chr7:149334081-149334581,chr7,149334081,149334581,5.79295E-16,KRBA1,1,indianred3
chr2:207998525-207999025,chr2,207998525,207999025,6.02256E-16,KLF7,1,indianred3
chr7:105857499-105857999,chr7,105857499,105857999,6.05433E-16,"NAMPT, CCDC71L",2,indianred3
chr8:146117402-146117902,chr8,146117402,146117902,6.09275E-16,ZNF16,1,indianred3
chr13:21607537-21608037,chr13,21607537,21608037,6.33858E-16,LATS2,1,indianred3
chr19:8740728-8741228,chr19,8740728,8741228,6.57383E-16,"CD320, NDUFA7, ZNF414, ZNF558",4,indianred3
chr3:112359051-112359551,chr3,112359051,112359551,6.58099E-16,CCDC80,1,indianred3
chr7:120503011-120503511,chr7,120503011,120503511,6.91123E-16,TSPAN12,1,indianred3
chr3:64557626-64558126,chr3,64557626,64558126,7.43809E-16,ADAMTS9,1,indianred3
chr17:1484204-1484704,chr17,1484204,1484704,7.75842E-16,SMYD4,1,indianred3
chr17:40283872-40284372,chr17,40283872,40284372,7.96427E-16,P3H4,1,indianred3
chr8:49342831-49343331,chr8,49342831,49343331,8.16846E-16,SNAI2,1,indianred3
chr2:43151779-43152279,chr2,43151779,43152279,8.5424E-16,ZFP36L2,1,indianred3
chr1:162218631-162219131,chr1,162218631,162219131,9.21133E-16,C1orf226,1,indianred3
chr1:177038542-177039042,chr1,177038542,177039042,9.26776E-16,BRINP2,1,indianred3
chr5:36238970-36239470,chr5,36238970,36239470,9.84963E-16,NADK2,1,indianred3
chr18:53119317-53119817,chr18,53119317,53119817,9.93001E-16,TCF4-AS1,1,indianred3
chr3:190390798-190391298,chr3,190390798,190391298,1.01275E-15,CLDN1,1,indianred3
chr13:30905431-30905931,chr13,30905431,30905931,1.04403E-15,HMGB1,1,indianred3
chr2:237837079-237837579,chr2,237837079,237837579,1.04799E-15,ACKR3,1,indianred3
chr3:146254439-146254939,chr3,146254439,146254939,1.05271E-15,PLSCR1,1,indianred3
chr3:193548537-193549037,chr3,193548537,193549037,1.05379E-15,HES1,1,indianred3
chr12:93590739-93591239,chr12,93590739,93591239,1.07572E-15,"SOCS2, SOCS2-AS1",2,indianred3
chr12:54447334-54447834,chr12,54447334,54447834,1.1108E-15,HOXC4,1,indianred3
chr17:70123138-70123638,chr17,70123138,70123638,1.15537E-15,SOX9,1,indianred3
chr5:121464958-121465458,chr5,121464958,121465458,1.15786E-15,ZNF474,1,indianred3
chr13:114836837-114837337,chr13,114836837,114837337,1.21937E-15,"RASA3, CDC16",2,indianred3
chr12:6432355-6432855,chr12,6432355,6432855,1.2232E-15,"TNFRSF1A, TAPBPL, LPAR5, CD4",4,indianred3
chr13:111658734-111659234,chr13,111658734,111659234,1.22849E-15,"ING1, ANKRD10",2,indianred3
chr14:73118365-73118865,chr14,73118365,73118865,1.24986E-15,DPF3,1,indianred3
chr17:39968908-39969408,chr17,39968908,39969408,1.26029E-15,"FKBP10, P3H4",2,indianred3
chr1:165345442-165345942,chr1,165345442,165345942,1.28951E-15,TMCO1,1,indianred3
chr8:124670575-124671075,chr8,124670575,124671075,1.33776E-15,ZHX1,1,indianred3
chr17:48763948-48764448,chr17,48763948,48764448,1.37098E-15,ABCC3,1,indianred3
chr7:7529172-7529672,chr7,7529172,7529672,1.45213E-15,COL28A1,1,indianred3
chr6:32026137-32026637,chr6,32026137,32026637,1.4913E-15,"C6orf47, TNXB",2,indianred3
chr7:135281707-135282207,chr7,135281707,135282207,1.51436E-15,STMP1,1,indianred3
chr17:13917904-13918404,chr17,13917904,13918404,1.55527E-15,"HS3ST3B1, MGC12916",2,indianred3
chr7:150620279-150620779,chr7,150620279,150620779,1.5928E-15,"TMUB1, ABCF2",2,indianred3
chr2:66466748-66467248,chr2,66466748,66467248,1.67445E-15,MEIS1,1,indianred3
chr7:25816017-25816517,chr7,25816017,25816517,1.67564E-15,LOC646588,1,indianred3
chr19:6273681-6274181,chr19,6273681,6274181,1.81854E-15,"CLPP, GPR108, TRIP10",3,indianred3
chr5:72733287-72733787,chr5,72733287,72733787,1.82398E-15,FOXD1,1,indianred3
chr1:89530807-89531307,chr1,89530807,89531307,1.8542E-15,GBP1,1,indianred3
chr2:202980313-202980813,chr2,202980313,202980813,1.87046E-15,FZD7,1,indianred3
chr9:75791386-75791886,chr9,75791386,75791886,1.87993E-15,ANXA1,1,indianred3
chr15:65713832-65714332,chr15,65713832,65714332,1.88029E-15,"MTFMT, CILP, IGDCC3, IGDCC4",4,indianred3
chr6:99089761-99090261,chr6,99089761,99090261,2.00963E-15,POU3F2,1,indianred3
chr7:92325235-92325735,chr7,92325235,92325735,2.09917E-15,"CDK6, CDK6-AS1",2,indianred3
chr4:1779823-1780323,chr4,1779823,1780323,2.14114E-15,TMEM129,1,indianred3
chr4:103360282-103360782,chr4,103360282,103360782,2.22671E-15,UBE2D3-AS1,1,indianred3
chr16:10921801-10922301,chr16,10921801,10922301,2.26292E-15,"NUBP1, CIITA, SOCS1",3,indianred3
chr13:95365485-95365985,chr13,95365485,95365985,2.28115E-15,"LOC112268114, SOX21",2,indianred3
chr12:54520671-54521171,chr12,54520671,54521171,2.46759E-15,"HOXC13, HOXC13-AS, HOTAIR, HOXC11, HOXC10, HOXC-AS3, HOXC-AS2, HOXC-AS1, HOXC9, HOXC8, HOXC4, HOXC6, HOXC5, FLJ12825, LINC02381",15,indianred3
chr12:93293084-93293584,chr12,93293084,93293584,2.50811E-15,NUDT4,1,indianred3
chr10:3581224-3581724,chr10,3581224,3581724,2.59169E-15,KLF6,1,indianred3
chr17:1682957-1683457,chr17,1682957,1683457,2.62896E-15,SMYD4,1,indianred3
chr1:89632293-89632793,chr1,89632293,89632793,2.63268E-15,GBP1,1,indianred3
chr17:42634357-42634857,chr17,42634357,42634857,2.66863E-15,FZD2,1,indianred3
chr11:111603756-111604256,chr11,111603756,111604256,2.68467E-15,FDXACB1,1,indianred3
chr14:27245382-27245882,chr14,27245382,27245882,2.85222E-15,NOVA1,1,indianred3
chr1:153521725-153522225,chr1,153521725,153522225,2.86351E-15,S100A3,1,indianred3
chr12:107046173-107046673,chr12,107046173,107046673,2.87307E-15,RFX4,1,indianred3
chr19:18755684-18756184,chr19,18755684,18756184,2.92401E-15,TMEM161A,1,indianred3
